Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
55,Angus King (I-Maine),"$3,477,125","$9,494,061","$15,510,998",Senate
56,Vicky Hartzler (R-Mo),"$3,165,029","$9,395,012","$15,624,995",House
57,Josh Gottheimer (D-NJ),"$3,442,330","$8,935,664","$14,428,999",House
58,Al Lawson (D-Fla),"$4,956,123","$8,673,061","$12,390,000",House
59,Debbie Dingell (D-Mich),"$4,820,144","$8,486,072","$12,152,000",House
60,Brad Sherman (D-Calif),"$3,400,032","$8,427,016","$13,454,000",House
61,John A Barrasso (R-Wyo),"$3,533,013","$8,339,006","$13,145,000",Senate
62,Ken Calvert (R-Calif),"-$4,349,984","$8,000,004","$20,349,992",House
63,Elizabeth Warren (D-Mass),"$4,880,024","$7,977,513","$11,075,002",Senate
64,Kurt Schrader (D-Ore),"$3,443,148","$7,907,573","$12,371,999",House
65,John Curtis (R-Utah),"-$1,870,893","$7,860,050","$17,590,994",House
66,Brett Guthrie (R-Ky),"$3,025,020","$7,663,010","$12,301,000",House
67,Joe Manchin (D-WVa),"$3,473,070","$7,623,534","$11,773,999",Senate
68,Chuck Grassley (R-Iowa),"$4,240,150","$7,550,075","$10,860,000",Senate
69,Sheldon Whitehouse (D-RI),"$3,064,259","$7,443,628","$11,822,998",Senate
70,Richard Burr (R-NC),"$3,426,214","$7,426,213","$11,426,212",Senate
71,Ami Bera (D-Calif),"$3,454,067","$7,420,029","$11,385,992",House
72,Dennis Heck (D-Wash),"$4,437,069","$7,301,034","$10,164,999",House
73,Roger Marshall (R-Kan),"$2,857,100","$7,264,049","$11,670,998",House
74,Jim Himes (D-Conn),"$3,563,044","$7,262,522","$10,962,000",House
75,Joyce Beatty (D-Ohio),"$2,655,029","$7,216,014","$11,777,000",House
76,Judy Chu (D-Calif),"$4,383,063","$7,090,031","$9,797,000",House
77,French Hill (R-Ark),"$3,224,069","$7,035,033","$10,845,998",House
78,Suzanne Bonamici (D-Ore),"$3,491,033","$6,978,016","$10,465,000",House
79,Ron Wyden (D-Ore),"$5,370,048","$6,877,025","$8,384,003",Senate
80,Katherine Clark (D-Mass),"$2,677,119","$6,804,059","$10,930,999",House
81,John Lee Ratcliffe (R-Texas),"$2,465,006","$6,757,503","$11,050,000",House
82,David McKinley (R-WVa),"$3,839,113","$6,739,056","$9,639,000",House
83,Scott Tipton (R-Colo),"$2,978,071","$6,574,035","$10,170,000",House
84,Ted Budd (R-NC),"$2,798,071","$6,400,534","$10,002,998",House
85,Robert B Aderholt (R-Ala),"$2,676,022","$6,370,510","$10,064,999",House
86,Kathy Castor (D-Fla),"$3,001,037","$6,296,518","$9,592,000",House
87,Tom O'Halleran (D-Ariz),"$2,136,011","$6,288,005","$10,440,000",House
88,Steve Cohen (D-Tenn),"$3,448,116","$6,198,058","$8,948,000",House
89,Chuck Fleischmann (R-Tenn),"$3,340,555","$5,958,051","$8,575,548",House
90,Lou Correa (D-Calif),"$3,794,043","$5,940,521","$8,087,000",House
91,Brad Wenstrup (R-Ohio),"$2,077,066","$5,917,032","$9,756,999",House
92,Bill Pascrell Jr. (D-NJ),"$2,635,041","$5,757,020","$8,879,000",House
93,Maria Cantwell (D-Wash),"$1,094,022","$5,756,508","$10,418,994",Senate
94,Tom Carper (D-Del),"$2,833,192","$5,726,595","$8,619,999",Senate
95,Roy Blunt (R-Mo),"$2,599,022","$5,704,510","$8,809,999",Senate
96,Mike Thompson (D-Calif),"$3,434,046","$5,672,022","$7,909,999",House
